time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-11T09:26:07.760Z,48.3763,-127.9431,10,4.5,mwr,,161,1.367,0.96,us,us1000aq3b,2018-01-09T02:14:55.040Z,"172 km WSW of Tofino, Canada",earthquake,3.7,1.9,,,reviewed,us,pgc
2017-06-10T20:38:18.560Z,50.6602,-130.0913,10,4.8,mwr,,115,1.246,0.9,us,us20009lss,2017-08-16T02:42:23.040Z,"212 km W of Port McNeill, Canada",earthquake,5.3,1.8,0.065,23,reviewed,us,us
2017-02-24T12:28:24.830Z,49.6697,-129.1491,10,5.2,mww,,140,1.171,0.94,us,us20008m0k,2017-05-17T01:19:38.040Z,"179 km SW of Port McNeill, Canada",earthquake,3.7,1.7,,,reviewed,us,us
2017-02-23T06:29:21.150Z,49.5603,-129.4659,10,4.5,mwr,,179,1.38,0.77,us,us20008lpj,2017-05-17T01:19:36.040Z,"205 km SW of Port McNeill, Canada",earthquake,5.1,1.8,,,reviewed,us,pgc
2017-02-23T06:04:58.100Z,49.7062,-129.2457,10,5.1,mww,,154,1.177,0.73,us,us20008lph,2017-05-17T01:19:36.040Z,"182 km WSW of Port McNeill, Canada",earthquake,7.9,1.9,0.039,64,reviewed,us,us
2017-02-12T03:47:40.170Z,49.3075,-129.3552,10,5,mwr,,164,1.55,1.35,us,us20008j9n,2017-05-13T01:03:17.040Z,"216 km SW of Port McNeill, Canada",earthquake,5.5,1.9,,,reviewed,us,pgc
2017-01-07T06:32:36.530Z,50.08,-130.1524,10,4.6,mwr,,172,1.409,1.08,us,us10007rty,2017-03-27T23:53:26.040Z,"225 km WSW of Port McNeill, Canada",earthquake,7.9,2,,,reviewed,us,pgc
2017-01-07T03:23:57.030Z,50.0125,-130.1366,10,4.6,mwr,,189,1.429,0.84,us,us10007vav,2017-03-27T23:53:25.040Z,"226 km WSW of Port McNeill, Canada",earthquake,8.9,2,,,reviewed,us,pgc
2017-01-07T03:17:40.640Z,50.0673,-130.2458,10,4.8,mwr,,178,1.469,1.13,us,us10007v7i,2017-03-27T23:53:25.040Z,"232 km WSW of Port McNeill, Canada",earthquake,4.2,2,,,reviewed,us,pgc
2017-01-07T03:13:54.320Z,50.2065,-130.1516,10,5.4,mww,,94,1.362,0.67,us,us10007rsx,2017-03-27T23:53:25.040Z,"222 km WSW of Port McNeill, Canada",earthquake,6.7,1.8,,,reviewed,us,us
